Timestamp,Indique o seu sexo.,Indique a sua faixa etaria. ,Em termos de utilizacao das aplicacoes em questao pode ser dizer que:,Entre as duas aplicacoes qual utiliza mais?,Diria que a aplicacao pode se dizer intuitiva?,Foi facil encontrar os produtos que procura?,Como classifica a qualidade da aplicacao?,Como classifica a qualidade do servico?,Quao frequentemente utiliza a aplicacao?,Diria que a  aplicacao se pode dizer intuitiva?,Foi fa¡cil encontrar os produtos que procura?,Como classifica a qualidade da aplicacao?,Como classifica a qualidade do servico?,Quao frequentemente utiliza a aplicacao?
2019/03/23 5:31:23 PM GMT+1,Masculino,19 - 25,Utilizo ambas as aplicacoes,Glovo,Sim,Sim,5,5,Uma vez por semana,,,,,
2019/03/23 5:36:30 PM GMT+1,Masculino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/23 5:37:05 PM GMT+1,Feminino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/23 5:38:33 PM GMT+1,Feminino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/23 5:39:05 PM GMT+1,Masculino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/23 5:39:29 PM GMT+1,Masculino,19 - 25,Utilizo apenas a Uber Eats,,,,,,,Sim,Sim,4,4,De longe a longe ao longo do ano
2019/03/23 5:39:59 PM GMT+1,Feminino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/23 5:40:55 PM GMT+1,Masculino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/23 5:43:28 PM GMT+1,Feminino,19 - 25,Utilizo ambas as aplicacoes,Uber Eats,,,,,,Sim,Sim,5,5,Uma ou duas vezes por mes
2019/03/23 5:46:20 PM GMT+1,Masculino,19 - 25,Utilizo apenas a Glovo,,Sim,Sim,4,3,De longe a longe ao longo do ano,Sim,Sim,3,4,De longe a longe ao longo do ano
2019/03/23 5:46:44 PM GMT+1,Feminino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/23 5:48:00 PM GMT+1,Feminino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/23 5:48:15 PM GMT+1,Feminino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/23 5:52:46 PM GMT+1,Masculino,19 - 25,Utilizo apenas a Uber Eats,,,,,,,Sim,Nao ,4,4,De longe a longe ao longo do ano
2019/03/23 5:53:27 PM GMT+1,Feminino,19 - 25,Utilizo apenas a Uber Eats,,,,,,,Sim,Sim,5,4,Uma ou duas vezes por mes
2019/03/23 5:53:28 PM GMT+1,Masculino,19 - 25,Utilizo apenas a Uber Eats,,,,,,,Sim,Sim,4,4,Uma ou duas vezes por mes
2019/03/23 5:55:40 PM GMT+1,Feminino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/23 5:58:19 PM GMT+1,Masculino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
